Feature,Importance
URLSimilarityIndex,0.18115297027974092
NoOfExternalRef,0.16926245465255954
LineOfCode,0.14658471230836803
NoOfSelfRef,0.10853533832529119
NoOfImage,0.08435098094418648
NoOfJS,0.07290358833521109
NoOfCSS,0.031598207348360115
HasSocialNet,0.03152608655858001
HasCopyrightInfo,0.025522517288149908
IsHTTPS,0.022892770591959932
LargestLineLength,0.018934393908615635
NoOfOtherSpecialCharsInURL,0.018217514704274285
HasDescription,0.018072110129369465
NoOfDegitsInURL,0.01295883571167318
DegitRatioInURL,0.008389554301247272
NoOfLettersInURL,0.008271948909536647
IsResponsive,0.006172529478496568
DomainTitleMatchScore,0.0060251455633254895
URLLength,0.00545098096852426
LetterRatioInURL,0.004242826599236843
URLTitleMatchScore,0.0033974940613069903
HasSubmitButton,0.0032817122982345516
NoOfSubDomain,0.00267760897107219
SpacialCharRatioInURL,0.002324729614019346
NoOfEmptyRef,0.00200674856532524
URLCharProb,0.002000190188242318
DomainLength,0.0008307528268386763
HasFavicon,0.0005472445237658777
CharContinuationRate,0.0005410871560279741
NoOfQMarkInURL,0.0003479929903777339
TLDLegitimateProb,0.0002460026151375521
NoOfiFrame,0.00016409780829546318
NoOfEqualsInURL,0.00010162228177139999
TLDLength,8.408509582332442e-05
HasPasswordField,6.877429498667279e-05
Bank,6.861800127261419e-05
Robots,6.203640766404954e-05
HasHiddenFields,5.049550153524828e-05
Pay,4.872813553563319e-05
HasTitle,3.7720505966918744e-05
NoOfPopup,2.1447249569338777e-05
Crypto,1.0458220756561025e-05
NoOfURLRedirect,9.694563901987873e-06
NoOfSelfRedirect,2.145046677769263e-06
HasExternalFormSubmit,1.2492065395816653e-06
HasObfuscation,8.596270829545047e-07
IsDomainIP,5.054023045418289e-07
ObfuscationRatio,4.3193326074195517e-07
NoOfObfuscatedChar,0.0
NoOfAmpersandInURL,0.0
