Feature,Importance
IsHTTPS,0.39303884340112843
NoOfOtherSpecialCharsInURL,0.13487869552251566
NoOfDegitsInURL,0.09263397188578654
LetterRatioInURL,0.07728658532370429
DegitRatioInURL,0.07296219192032136
URLLength,0.059045606338527915
SpacialCharRatioInURL,0.05468720906613698
NoOfLettersInURL,0.04601166439886916
NoOfSubDomain,0.03610414602136794
DomainLength,0.024373734216823623
TLDLength,0.007325927719708319
NoOfQMarkInURL,0.0008588315449751429
NoOfEqualsInURL,0.0007905676030248816
NoOfAmpersandInURL,1.5208610303271294e-06
IsDomainIP,4.325041323013847e-07
NoOfObfuscatedChar,7.129179527072123e-08
ObfuscationRatio,3.357105666439172e-10
HasObfuscation,4.444118825531758e-11
